log10(P0),t_inf,P_max
7.0,1.5077532408308718,1162560929.7379014
7.0,1.4763626411771413,1213559309.6471317
7.0,1.4774873332947138,1336219517.3471963
7.0,1.5082287162187529,1343889515.7054532
7.0,1.5581543199330714,841813157.7512996
7.0,1.557800276609561,877836191.3224825
7.0,1.5648264859997678,880414303.4966375
7.0,1.4827787833456636,1403415233.6214683
7.0,1.5247593553790095,911724311.5556774
7.0,1.5378934493733656,896905886.9791472
7.0,1.4944345992868275,1141077926.7448943
7.0,1.4950743947436547,1189028817.0661788
7.0,1.5076924871043123,1134409150.5188155
7.0,1.5248221701317568,1039595088.3688407
7.0,1.527379352968256,1054831595.39371
7.0,1.4741768441928516,1490112261.3727574
7.0,1.4847691600547739,1302561067.6055179
7.0,1.4972534818777967,1072162383.6932672
7.0,1.538333431945569,982742784.6199446
7.0,1.5553743857744982,883417518.8390745
7.0,1.5235945048935309,987718820.7668743
7.0,1.5732809369128422,820592515.3235397
7.0,1.4827975618937543,1411576797.2388818
7.0,1.5378670513962822,1036522352.7039198
7.0,1.496782770516404,1134152389.40984
7.0,1.504427392936032,1196829176.3951077
7.0,1.4776301148651758,1457282362.4511375
7.0,1.5390776896956186,998166926.9858938
7.0,1.4641418704276952,1453832098.0294638
7.0,1.564716912961681,850941316.7537774
7.0,1.5274005461037046,952185928.7524892
7.0,1.5265714205281349,1014508152.7552048
7.0,1.5455190938591887,914130725.333018
7.0,1.526750629133956,1007495268.6573701
7.0,1.4667914061301623,1308246022.3896449
7.0,1.5267285386006468,1121522544.8491273
7.0,1.4787202555867667,1238312877.499383
7.0,1.5090962907580698,1086791889.7365232
7.0,1.4485350640666523,1631437456.1506627
7.0,1.5272462175242947,974634660.6243429
7.0,1.4965419917247853,1097022781.8890903
7.0,1.4950179364795775,1345824331.1077807
7.0,1.509017028825669,1300458280.7995937
7.0,1.5454612651210553,896765585.6583545
7.0,1.5044512933380327,1090552921.4440863
7.0,1.5077615452446878,1201165019.8235343
7.0,1.5246194673940245,1025885305.19132
7.0,1.5090158561364069,981402542.4171617
7.0,1.5872264841496175,759750053.2078913
7.0,1.603384611404948,719649196.7124732
7.0,1.5129359704602336,1289183183.0405703
7.0,1.5275164254857028,1005911693.0733459
7.0,1.4972578168218087,1273657667.8127048
7.0,1.5078200853208896,1175462585.095131
7.0,1.4642650947047524,1509020451.7053819
7.0,1.4944500186140386,1247364438.0123954
7.0,1.5392194033037496,1013601154.7631669
7.0,1.4831660796436898,1173102620.5732145
7.0,1.4546534459147447,1538191299.4436932
7.0,1.5130203286683237,1032879781.4872336
7.0,1.5549590078214262,858003873.322199
7.0,1.5431328195470762,1027650743.6231891
7.0,1.527223293027722,1025462680.831786
7.0,1.5647597928050099,825113395.2720103
7.0,1.5679273139432428,812972157.1041789
7.0,1.4942108471129742,1208729333.5330143
7.0,1.4971694094552692,1125378562.055931
7.0,1.5546489019777912,920281644.3737581
7.0,1.4551124864075369,1468104320.658552
7.0,1.5537621247136866,868820032.835574
7.0,1.4828289361843074,1167323708.0437021
7.0,1.5076998350075375,1262418141.9424987
7.0,1.5378679967568418,1131980671.7590609
7.0,1.50447959254594,1107361084.9003332
7.0,1.5046343255327264,1125175556.747654
7.0,1.527319972335954,962855875.9505997
